x,y,z,cluster
0,0,0,-1037284336
-5.05777,-4.13271,0.242809,-993983792
-5.03552,-4.08883,0.241137,1
-5.12581,-4.13611,0.244852,1
-5.07922,-4.07286,0.242029,1
-5.13233,-4.08964,0.243961,1
-5.1284,-4.06084,0.243181,1
-5.01345,-3.96683,0.00435158,1
-5.14241,-4.04633,0.243255,1
-5.09163,-4.00335,0.00440875,1
-5.14142,-4.02007,0.242623,1
-5.10389,-3.98771,0.00440875,1
-5.17109,-4.01776,0.243441,1
-5.08687,-3.94934,0.00438357,1
-5.15728,-3.98173,0.242215,1
-5.13776,-3.96365,0.00441692,1
-5.17027,-3.96649,0.242252,1
-5.11022,-3.91745,0.00438289,1
-5.27063,-4.01786,0.246376,1
-5.08005,-3.86964,0.00434681,1
-5.27656,-3.99684,0.246078,1
-5.01042,-4.08959,0.178395,1
-5.2115,-3.94456,0.00444891,1
-5.27442,-3.96982,0.24541,1
-5.04235,-4.08994,0.179085,1
-5.21558,-3.92254,0.00444211,1
-5.11079,-3.84038,-0.229947,1
-5.26897,-3.94045,0.244592,1
-5.05332,-4.0732,0.17903,1
-5.19715,-3.88377,0.00441624,1
-5.13536,-3.83425,-0.230522,1
-5.28344,-3.92606,0.244704,1
-5.06423,-4.05643,0.178974,1
-5.20503,-3.86483,0.00441284,1
-5.13025,-3.80597,-0.229767,1
-5.21829,-3.85285,0.241137,1
-5.08917,-4.05083,0.179416,1
-5.21686,-3.84884,0.00441284,1
-5.19258,-3.82757,-0.232032,1
-5.29212,-3.88233,0.243998,1
-5.1102,-4.04202,0.179719,1
-5.24558,-3.84524,0.00442713,1
-5.21075,-3.81635,-0.232319,1
-5.27171,-3.84254,0.242512,1
-5.121,-4.02509,0.179664,1
-5.24604,-3.82088,0.0044176,1
-5.22647,-3.80328,-0.232499,1
-5.2948,-3.83455,0.243032,1
-5.1349,-4.01059,0.179719,1
-5.23181,-3.78601,0.00439582,1
-5.24136,-3.78957,-0.232643,1
-5.31871,-3.82704,0.243589,1
-5.11875,-3.97275,0.178726,1
-5.23853,-3.76644,0.00439174,1
-5.06128,-3.92645,-0.0574674,1
-5.26919,-3.78513,-0.233362,1
-5.31823,-3.80199,0.243032,1
-5.11904,-3.94787,0.178313,1
-5.24762,-3.74861,0.00438969,1
-5.02341,-3.87244,-0.0569022,1
-5.29542,-3.7794,-0.234009,1
-6.76837,-4.81503,0.918789,1
-5.32743,-3.78392,0.242921,1
-5.13827,-3.93762,0.178561,1
-5.26399,-3.73596,0.00439378,1
-5.11624,-3.91903,-0.0578173,1
-5.34857,-3.79262,-0.235842,1
-6.78149,-4.79309,0.918569,1
-5.34717,-3.77332,0.243292,1
-5.14794,-3.92002,0.178478,1
-5.29259,-3.7319,0.00440807,1
-5.12346,-3.89968,-0.0577634,1
-5.36835,-3.78195,-0.236201,1
-6.74735,-4.73799,0.911973,1
-5.36282,-3.75976,0.243478,1
-5.16393,-3.90723,0.178616,1
-5.31221,-3.72138,0.00441488,1
-5.11865,-3.87128,-0.0575751,1
-5.36682,-3.75629,-0.235626,1
-6.62491,-4.62173,0.893503,1
-6.76527,-5.09332,0.852257,1
-7.39708,-5.15562,0.665137,1
-5.39893,-3.76043,0.244592,1
-5.16471,-3.88295,0.17823,1
-5.04963,-4.09273,0.117429,1
-5.34083,-3.71706,0.00442917,1
-5.1305,-3.85556,-0.0575751,1
-5.37586,-3.7381,-0.235518,1
-6.62517,-4.59176,0.891634,1
-6.81671,-5.09936,0.856763,1
-5.45235,-3.77285,0.246487,1
-5.17499,-3.86589,0.178175,1
-5.04348,-4.06216,0.116995,1
-5.37524,-3.71658,0.00444823,1
-5.14471,-3.8416,-0.057602,1
-5.37744,-3.71477,-0.235087,1
-6.63759,-4.57028,0.891414,1
-5.4499,-3.74648,0.245855,1
-5.20047,-3.86013,0.178644,1
-5.03562,-4.03043,0.116526,1
-5.40393,-3.71196,0.00446253,1
-5.16129,-3.82937,-0.0576558,1
-5.38881,-3.69825,-0.235087,1
-6.64337,-4.54429,0.890314,1
-7.17415,-4.90276,0.641006,1
-5.48035,-3.7427,0.24671,1
-5.20747,-3.84059,0.178478,1
-5.06674,-4.0299,0.116959,1
-5.42686,-3.70326,0.00447206,1
-5.18026,-3.81886,-0.0577365,1
-5.41252,-3.69015,-0.235626,1
-6.654,-4.52165,0.889874,1
-5.51082,-3.73877,0.247564,1
-5.24503,-3.84351,0.17936,1
-5.10418,-4.03417,0.117537,1
-5.44068,-3.68827,0.0044741,1
-5.19679,-3.80649,-0.0577904,1
-5.4536,-3.6937,-0.23692,1
-5.13617,-3.7585,-0.28823,1
-5.40758,-3.6584,-0.473606,1
-6.66866,-4.50177,0.889984,1
-7.08338,-4.77723,0.630265,1
-5.55541,-3.74419,0.24905,1
-5.2673,-3.83505,0.179719,1
-5.08587,-3.99441,0.116833,1
-5.44118,-3.6643,0.00446525,1
-5.21087,-3.79229,-0.0578173,1
-5.45993,-3.6736,-0.236705,1
-5.16141,-3.75272,-0.288999,1
-5.44444,-3.65904,-0.475849,1
-6.66593,-4.47022,0.887786,1
-7.09966,-4.75659,0.630412,1
-5.59677,-3.74714,0.250388,1
-5.28309,-3.8218,0.179857,1
-5.11544,-3.99232,0.11723,1
-5.48897,-3.67206,0.0044952,1
-5.21681,-3.77219,-0.0577545,1
-5.47865,-3.66183,-0.237028,1
-5.22553,-3.77489,-0.29194,1
-5.43988,-3.6318,-0.474474,1
-6.64983,-4.42991,0.883828,1
-6.67442,-4.80389,0.827624,1
-6.97972,-4.64527,0.618494,1
-5.8709,-4.55694,0.4064,1
-5.41375,-4.52343,0.318876,1
-5.63237,-3.746,0.251465,1
-5.29073,-3.80266,0.179719,1
-5.13952,-3.9858,0.117501,1
-5.50687,-3.65963,0.00450065,1
-5.23161,-3.7585,-0.0577904,1
-5.02485,-3.89378,-0.116066,1
-5.514,-3.66104,-0.238071,1
-5.24521,-3.76466,-0.292392,1
-5.45016,-3.61454,-0.474402,1
-6.73468,-4.45666,0.893283,1
-6.77168,-4.84242,0.837838,1
-5.90541,-4.55476,0.40782,1
-5.44912,-4.52467,0.32014,1
-5.64967,-3.73256,0.251725,1
-5.30644,-3.78931,0.179857,1
-5.11371,-3.94072,0.116634,1
-5.51223,-3.63886,0.00449588,1
-5.2602,-3.75463,-0.0579787,1
-5.11045,-3.93508,-0.117764,1
-5.47933,-3.61384,-0.236094,1
-5.31448,-3.78973,-0.295604,1
-5.4529,-3.59232,-0.473678,1
-6.60712,-4.34316,0.874592,1
-5.8829,-4.50868,0.405308,1
-5.43755,-4.48695,0.31865,1
-5.66945,-3.72069,0.252097,1
-5.31804,-3.77301,0.179857,1
-5.84031,-3.82976,0.00475386,1
-5.2717,-3.73848,-0.0579787,1
-5.12409,-3.9206,-0.1178,1
-5.50376,-3.60578,-0.236669,1
-5.32527,-3.77283,-0.295559,1
-5.47641,-3.58376,-0.474764,1
-6.67618,-4.35928,0.881959,1
-5.89035,-4.48577,0.404871,1
-5.42348,-4.44744,0.317025,1
-5.70177,-3.71693,0.253025,1
-5.32305,-3.75207,0.179636,1
-6.03134,-3.92862,0.00489952,1
-5.30358,-3.73668,-0.058203,1
-5.14166,-3.90909,-0.117928,1
-5.51396,-3.58833,-0.236633,1
-5.34335,-3.76108,-0.295921,1
-5.53254,-3.5963,-0.478671,1
-7.25381,-4.70027,0.637622,1
-5.89771,-4.46286,0.404434,1
-5.32559,-4.33991,0.310522,1
-5.72405,-3.70648,0.253508,1
-5.34191,-3.74088,0.179884,1
-6.03833,-3.90684,0.00489544,1
-5.33386,-3.73358,-0.0584093,1
-5.15523,-3.89451,-0.117965,1
-5.5367,-3.57899,-0.237136,1
-5.34504,-3.7378,-0.295378,1
-5.53768,-3.57552,-0.478164,1
-6.63261,-4.27301,0.872723,1
-7.22962,-4.65317,0.634238,1
-7.40443,-5.15722,0.579092,1
-5.86429,-4.40934,0.401213,1
-5.40642,-4.37825,0.314451,1
-5.748,-3.69701,0.254065,1
-5.36649,-3.73361,0.180326,1
-6.05449,-3.891,0.00489884,1
-5.36007,-3.72748,-0.0585708,1
-5.16475,-3.87687,-0.11791,1
-5.58129,-3.58359,-0.238574,1
-5.33187,-3.70428,-0.294021,1
-5.65021,-3.62366,-0.486918,1
-5.87139,-4.38654,0.400776,1
-5.37936,-4.32907,0.312103,1
-5.79974,-3.70518,0.255849,1
-5.4067,-3.73702,0.181291,1
-6.08579,-3.88478,0.0049145,1
-5.37888,-3.71613,-0.0586516,1
-5.18143,-3.86459,-0.118019,1
-5.83492,-3.72121,-0.248926,1
-5.33335,-3.6811,-0.293478,1
-5.69663,-3.62882,-0.489957,1
-5.86798,-4.35601,0.399629,1
-5.41992,-4.33438,0.313683,1
-5.8212,-3.69379,0.256294,1
-5.41732,-3.71985,0.181263,1
-5.15968,-3.82686,0.116056,1
-5.04769,-4.03584,0.0560612,1
-6.10106,-3.86824,0.00491722,1
-5.39191,-3.70074,-0.0586695,1
-5.19165,-3.84749,-0.117983,1
-5.8691,-3.71773,-0.249897,1
-5.37098,-3.68279,-0.294926,1
-5.79118,-3.66412,-0.49712,1
-8.12749,-5.12589,0.708836,1
-5.86525,-4.32613,0.398537,1
-5.40582,-4.29598,0.312103,1
-5.8435,-3.68284,0.256777,1
-5.44439,-3.71392,0.181787,1
-5.1883,-3.82347,0.116435,1
-5.08041,-4.03651,0.0562867,1
-6.01135,-3.78556,0.00483554,1
-5.39993,-3.68193,-0.0586336,1
-5.19458,-3.82502,-0.117782,1
-5.86441,-3.68959,-0.249214,1
-5.40537,-3.68205,-0.296192,1
-5.85897,-3.68189,-0.501967,1
-7.03277,-4.77126,0.545404,1
-5.85514,-4.291,0.396954,1
-5.3586,-4.23171,0.308626,1
-5.90136,-3.69406,0.258821,1
-5.49796,-3.7258,0.183193,1
-5.24518,-3.84061,0.117447,1
-5.10375,-4.02958,0.0564082,1
-6.02294,-3.7671,0.00483554,1
-5.39299,-3.65301,-0.0584363,1
-5.19338,-3.79962,-0.11749,1
-5.87401,-3.67052,-0.249142,1
-5.41912,-3.66713,-0.296328,1
-5.82963,-3.63855,-0.498495,1
-8.14354,-5.06644,0.707512,1
-6.96048,-4.6911,0.538679,1
-5.85051,-4.26009,0.395753,1
-5.35663,-4.20353,0.307768,1
-5.9186,-3.67963,0.259081,1
-5.50937,-3.70891,0.183193,1
-5.26745,-3.83215,0.117682,1
