x,y,z,cluster
0,0,0,1358413371
-5.90597,-9.54047,3.42961,2078519584
-5.9423,-9.53367,3.43371,1
-6.03608,-9.61826,3.47083,1
-5.94296,-9.40567,3.40068,1
-6.13399,-9.64237,3.49304,1
-6.15374,-9.6082,3.48749,1
-6.13604,-9.45235,3.44452,1
-6.22806,-9.40345,3.44744,1
-6.06606,-9.03791,3.32701,1
-6.08573,-9.00737,3.32263,1
-6.33169,-9.30971,3.44131,1
-6.33969,-9.26025,3.4302,1
-6.07337,-9.63499,3.3469,1
-6.14124,-8.9116,3.30802,1
-6.14814,-9.6876,3.37172,1
-6.21597,-8.96108,3.33345,1
-6.14012,-9.60967,3.35113,1
-6.33979,-9.07997,3.38489,1
-6.15919,-9.57465,3.3455,1
-6.47831,-9.28492,2.98706,1
-6.28294,-8.93999,3.33988,1
-6.20523,-9.58148,3.35452,1
-6.33298,-8.95268,3.35186,1
-6.07687,-9.32049,3.26965,1
-6.36596,-8.941,3.35478,1
-6.24284,-9.51114,3.34324,1
-6.88132,-9.67161,3.13171,1
-6.51425,-9.09011,3.41821,1
-6.64112,-9.20736,3.46995,1
-6.19268,-9.30969,3.28572,1
-6.7317,-9.27285,3.5024,1
-6.23296,-9.30819,3.29193,1
-6.78607,-9.28767,3.51584,1
-6.31511,-9.36858,3.32012,1
-6.78621,-9.22829,3.50123,1
-6.37238,-9.39124,3.33506,1
-6.94136,-9.37884,3.56641,1
-6.34542,-9.29004,3.30602,1
-6.99466,-9.39048,3.57898,1
-6.3103,-9.17803,3.27304,1
-6.91365,-9.28814,3.05492,1
-7.01713,-9.36056,3.57577,1
-6.44653,-9.31484,3.32886,1
-7.0556,-9.35197,3.58074,1
-6.45863,-9.2714,3.3204,1
-7.08947,-9.33713,3.58337,1
-6.46225,-9.21619,3.30772,1
-6.24794,-9.66836,3.25937,1
-7.12969,-9.33053,3.58921,1
-6.48386,-9.18691,3.30433,1
-7.15187,-9.30028,3.586,1
-6.442,-9.06842,3.26881,1
-6.47742,-9.88982,3.34736,1
-7.17803,-9.27527,3.58483,1
-6.54457,-9.1532,3.30659,1
-7.19705,-9.24113,3.58015,1
-7.23245,-9.22804,3.58366,1
-6.35771,-9.45192,3.22532,1
-7.2931,-9.18873,3.5857,1
-6.38075,-9.4236,3.22232,1
-7.71445,-9.72622,3.27534,1
-7.32543,-9.17154,3.58775,1
-6.48387,-9.51291,3.25964,1
-6.46948,-9.4295,3.23785,1
-7.68921,-9.57317,3.23962,1
-6.55743,-9.49511,3.26727,1
-7.51862,-9.1801,3.62692,1
-7.28887,-8.84408,3.50298,1
-6.58083,-9.34389,3.23594,1
-7.3689,-9.60386,3.55723,1
-6.9802,-9.65701,3.37379,1
-7.58471,-8.86538,3.56612,1
-7.54699,-8.76669,3.53572,1
-7.0665,-9.58926,3.3727,1
-7.496,-9.34685,3.52086,1
-7.24663,-9.77079,3.44435,1
-6.39774,-9.33773,3.08852,1
-7.60418,-9.42236,3.55808,1
-7.27715,-9.74928,3.44462,1
-7.402,-9.11449,3.45038,1
-7.419,-9.07836,3.4453,1
-7.22658,-9.55861,3.39286,1
-7.60648,-9.24971,3.51917,1
-7.34603,-9.3536,3.36752,1
